"Ê¡","ÊÐ","ÏØ","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X39","X40","X41","X42","X43","total"
11,1101,110117,45975,266868,125640,0,107463,101682,0,0,0,50072,4166,24633,1414,37437,59147,0,4492,11804,43397,5684,436,67217,217391,95571,621341,35474,28622,81152,657,0,2037735
11,1102,110228,67206,162857,127848,0,12728,417430,5784,0,4309,12924,26652,5791,0,40127,29799,0,0,41092,46401,0,0,179164,33076,43701,454390,124618,71685,0,7887,246,1915715
11,1102,110229,12451,10712,0,0,219689,86549,0,0,10645,1809,0,547,0,18303,80285,0,0,0,93398,0,7598,26485,21607,61856,5561,4968,595,2471,4500,0,670029
12,1201,120101,0,3983,0,0,21416,2962,0,0,0,0,8532,0,0,31364,0,0,0,3382,246,5087268,0,9680,21700,3450,6205,7429,0,35785,0,0,5243402
12,1201,120102,7003,22964,12834,0,199484,20961,47455,3048,0,0,3924,0,0,75525,946420,1352,0,19976,1638,592532,11633,313511,476921,111173,55929,31392,399364,163564,8473,0,3527076
12,1201,120103,25197,3071,6977,0,32545,67129,0,20420,0,50119,298995,30758,0,146771,0,0,158443,12888,2609,10671288,0,169981,39798,123548,43257,46425,858184,136950,38297,0,12983650
12,1201,120104,2499,47977,95759,0,47662,148911,11679,0,5881,0,40113,48516,0,267603,719875,0,25848,211810,620,339,34275,270121,103151,857564,479528,847583,862697,397828,16989,0,5544828
12,1201,120105,977,22170,0,0,51018,7791,62000,4745,0,6169,42931,10994,0,50522,65707,0,2523,6753,1781,4656486,0,122468,186862,225632,106190,120611,457984,94118,1099,0,6307531
12,1201,120106,67328,59576,134703,0,108683,87,0,40,0,18635,22064,10499,0,10213,70268,0,0,0,6020,16863,0,29044,15629,109686,92202,2558,705519,222,2251,0,1482090
12,1201,120107,2539750,1175726,1418796,0,164093,109353,8605,63023,463728,330135,348270,223349,1313639,4913880,3031547,58630,67540,1523929,456324,562655,136716,2036201,6674896,1096758,14760024,2132778,28571609,528560,71842,91336,74873692
12,1201,120108,95827,267,374,0,34703,46181,12853,0,23015,9495,0,0,265155,2238915,16106,15383,2835,110875,73776,8188,0,28122,60712,5248,80180,13431,0,0,0,35658,3177299
12,1201,120109,707,7709,5258,0,20186,22198,0,0,0,77592,0,18990,1654611,1531302,30717,89124,150806,67553,143814,75063,21371,348056,27047,7642,277695,129254,89351,19419,64264,0,4879729
12,1201,120110,266867,276133,64010,828369,709379,107668,159693,99650,25935,38057,223077,86272,314796,1126049,808228,0,465172,202673,393529,11492887,227616,536939,1205549,455243,1404099,446264,54070,67531,80543,302,22166600
12,1201,120111,1135825,123803,74461,0,240576,273516,30354,10453,31674,224412,68781,95150,192868,2392316,1052733,0,301903,735516,542265,1330311,134540,1038118,866676,1366133,4442824,2851955,16710058,840295,177413,0,37284929
12,1201,120112,67820,366636,4397,0,389569,107880,61620,23852,7794,64148,3975,7828,12325,383347,25681,0,39941,755825,185768,4756221,5702,905998,544368,946523,392081,191305,1099179,2218,34948,30550,11417499
12,1201,120113,50660,76029,963019,0,90006,80615,5070,186402,221384,95885,31870,85719,1715,761801,795916,0,783768,141818,411994,1012357,665564,1111271,1406567,680335,965933,3378971,203078,45827,10115,1200,14264889
12,1201,120114,83785,835853,70078,0,154285,133387,217154,38879,63543,103825,24756,68134,0,644932,130335,19160,137134,359095,660085,60953,171484,395366,1347382,249184,535065,55043,1301268,0,359527,0,8219692
12,1201,120115,341583,49701,20623,0,70954,1088768,98210,3089,82437,39517,21874,121620,0,88827,15233,7028,20773,62779,69400,5744,40023,227349,89118,104899,59544,26857,15726,3245,118712,0,2893633
12,1202,120221,49792,65361,348468,0,14847,34153,5100,9624,8700,31420,362,0,0,209252,3304,5426,0,63451,47586,585901,1780,85740,382356,37849,846,61003,1769,3964,26075,177928,2262057
12,1202,120223,38694,32303,0,0,56759,51630,15396,4488,114487,25438,2801,30290,0,84038,0,0,39285,45757,88539,7277725,223283,758064,356682,258065,102951,141747,48691,3034,24926,192354,10017427
12,1202,120225,86481,37040,112456,0,7392,166753,0,1302,1830,62028,2818,7870,0,128570,0,0,0,0,221875,0,0,13031,54398,29738,33960,38240,0,0,41950,0,1047732
13,1301,130102,277179,0,0,0,814479,0,0,68957,34663,170678,0,0,457376,893065,1784174,0,3287,220242,198581,1727099,51258,252031,369448,260844,0,0,0,0,0,0,7583361
13,1301,130103,0,0,95527,0,30241,190259,0,0,0,0,7342,1891,0,91117,0,0,0,0,9416,0,78000,2070,181514,31551,233070,0,0,0,0,0,951998
13,1301,130104,0,37854,0,2185945,52306,6431,0,0,2500,0,50123,0,0,185610,2142380,0,0,6208,7695,0,0,45698,95563,4575,37644,10116,72579,20733,0,0,4963960
13,1301,130105,81736,1242288,0,0,30493,20478,0,0,0,4004,5562,0,0,24783,14851,0,0,7868,18753,0,0,19608,26159,230607,240416,911,128931,0,0,0,2097448
13,1301,130107,0,0,0,0,9600,19980,0,0,0,0,0,0,305342,163800,0,0,0,0,41620,185961,0,0,46142,0,0,0,0,4500,0,0,776945
13,1301,130108,40295,23001,0,0,249598,0,11700,0,466318,43902,575381,0,0,474359,826419,3051,32500,9738,2353,0,0,326583,291884,190809,165119,153567,209993,57894,12851,0,4167315
13,1301,130121,0,0,0,0,2223,245965,0,0,0,0,0,0,0,684204,0,0,0,153463,1076699,0,0,0,178386,0,0,101870,0,4425,0,0,2447235
13,1301,130123,844326,112513,26710,0,1432898,54384,0,959631,198825,21490,0,0,52510,597829,23035,0,4327,592252,153313,86386,6471,403735,80305,288786,15983,69390,0,16750,15560,0,6057409
13,1301,130124,125764,96452,26484,0,287845,225177,2054,0,0,68972,0,0,0,491521,756238,22203,1642,37381,7820,29011,19261,12692,180536,10633,4989,15854,1219,0,0,0,2423748
13,1301,130125,209760,237927,342143,0,24740,115930,0,940,4957,52271,0,0,0,247706,0,0,102438,150544,393261,0,51165,0,331439,128793,196722,108002,67021,112870,0,0,2878629
13,1301,130126,0,0,0,0,32137,0,0,0,0,0,0,0,78080,417524,56924,0,0,0,563575,45768,26971,56183,113316,58546,0,0,0,0,0,0,1449024
13,1301,130127,31221,128237,0,0,253195,0,0,0,0,56550,0,0,0,134896,15165,0,17636,0,349575,31341,0,62120,0,20518,0,0,0,0,0,0,1100454
13,1301,130128,31267,0,0,0,352254,0,0,0,0,83438,1708,0,64867,240907,88880,0,0,0,0,0,0,333913,187989,42082,0,0,7635,0,0,0,1434940
13,1301,130129,95387,46131,38552,0,36766,25859,0,31727,6217,0,0,0,0,243347,0,0,382458,0,152060,51714,0,21941,10554,69416,5089,0,0,0,0,0,1217218
13,1301,130130,74525,3027,0,0,14283,0,3163199,0,0,25000,0,0,0,448584,71490,0,0,3480,5361,0,0,16375,0,45200,0,14537,0,0,22895,0,3907956
13,1301,130131,454,0,0,0,22713,9440,0,0,0,0,0,0,0,246664,0,0,0,9390,165395,4470920,0,918,15008,581,0,0,0,0,0,0,4941483
13,1301,130132,509864,37841,13913,0,359539,113871,0,0,0,196784,0,0,0,1094933,0,0,0,30216,60669,15728,0,7484,102968,0,0,68296,58430,0,0,0,2670536
13,1301,130133,2389198,53849,0,0,323100,0,715,27750,21004,201470,0,0,0,111163,30983,54559,0,47148,0,331,0,139943,272990,115371,0,0,0,0,0,0,3789574
13,1301,130181,77942,0,7196,0,75029,205102,4037134,0,0,5059,0,0,113237,266550,0,0,48773,16338,50185,1419825,15403,34341,9728,10240,3939,22891,0,38809,0,0,6457721
13,1301,130182,1057592,85400,284223,0,357555,212506,0,327377,80996,210473,2977,0,90924,787838,433411,425100,0,172165,299422,113491,218866,557269,296106,573456,175779,184105,39394,0,68947,105625,7160997
13,1301,130183,139744,310,12596,0,874957,253933,210361,0,11477,182080,2564,0,0,408670,23857,6984,22528,0,540047,1125,36957,390787,116025,0,40588,494279,0,0,2207,0,3772076
13,1301,130184,177055,40112,15618,0,116719,48736,15420,693190,0,446,182205,0,0,319114,17805,298,22758,74027,892705,0,44098,297419,181354,51170,73338,763978,0,7232,66243,16172,4117212
13,1301,130185,110884,117458,43771,0,36411,35997,60222,14547,0,140749,124615,0,71002,627076,112539,2464,4563,443621,2187998,163985,30835,80857,993680,107482,286462,194687,113740,0,0,0,6105645
13,1302,130202,29989,75969,0,0,54342,0,0,0,92702,114451,0,0,5567,10476,0,0,4665,7495,43699,59228,0,14236,76718,112212,321745,149433,0,0,0,0,1172927
13,1302,130203,16011,8478,129319,0,0,688,0,0,0,3241,3806,0,1332,6974,276020,0,0,232076,733278,10763768,0,135783,1018720,324124,214407,147424,8860,83550,6573,0,14114432
13,1302,130204,18295,1652,0,0,0,0,0,0,0,5667,0,0,770376,31355,10878,0,0,0,230669,156714,0,64461,5964,29872,4595,32393,0,0,0,0,1362891
13,1302,130205,0,0,0,0,0,0,0,0,0,0,5029,0,41047,104669,0,0,8880,0,325853,2407215,0,61139,0,0,0,8308,0,0,0,0,2962140
13,1302,130207,96095,35267,6534,0,785,33340,20239,0,0,8968,0,0,445777,1824503,0,0,48348,5476,1410187,11058664,8816,913881,103206,117922,33119,129810,0,2860,5465,0,16309262
13,1302,130208,16340,798847,6360,0,37811,0,0,0,10998,48111,9132,0,0,41564,14500,31887,0,0,2126191,8420003,4042,83314,78445,142626,399445,0,0,0,0,0,12269616
13,1302,130223,181967,15170,88835,0,0,0,0,0,0,67356,0,0,0,0,0,0,0,0,126410,1108107,0,200316,29005,0,0,0,0,0,0,0,1817166
13,1302,130224,84991,362401,2194,0,3567,1572,0,0,12599,91413,0,0,38278,13505,0,0,0,131958,57347,2699274,0,58365,0,0,32953,0,7864,0,0,0,3598281
13,1302,130225,117347,13874,123209,0,111497,13541,0,0,0,11418,0,0,435627,157129,74890,0,0,0,50306,1686602,0,41467,39971,2948,91851,0,0,0,0,3583,2975260
13,1302,130227,0,0,3211,0,0,10593,0,0,0,0,0,0,0,14287,0,0,0,0,65908,4846311,0,0,61202,0,0,0,0,0,366,0,5001878
13,1302,130229,517032,19558,41990,0,48686,35456,0,8246,0,284902,17121,0,0,41543,6883,0,317624,176470,544996,321491,126609,430808,228149,60562,32317,81879,84377,0,0,0,3426699
13,1302,130230,45179,0,0,0,37525,171237,0,0,0,290547,0,0,0,58475,0,14391,0,0,76407,55000,0,0,47233,1642,32225,0,0,0,0,0,829861
13,1302,130281,372484,37473,44644,0,5755,4649,0,0,0,15105,6774,0,297400,299967,3626,8228,0,0,189804,4570553,16740,64800,277308,210980,12308,10002,0,0,0,0,6448600
13,1302,130283,170630,22074,0,0,2184,11770,0,0,0,136761,0,0,526060,44936,13014,0,24142,0,90077,791564,0,191369,34638,13370,0,39649,0,0,0,0,2112238
13,1303,130302,549277,3608,22197,0,51678,22368,12148,11579,0,0,7930,2480,146098,269528,0,14423,45140,113343,1276022,506465,79544,270249,148860,557505,436250,2108056,0,0,7058,0,6661806
13,1303,130303,785184,7897,125332,0,7408,9523,0,1048,0,0,0,3125,0,12527,21540,17130,0,1492,31538,270938,19228,63751,132434,36058,1249481,47992,0,0,0,0,2843626
13,1303,130304,0,0,0,0,0,0,0,0,0,10362,0,0,0,0,0,6722,0,0,2823,0,0,59684,103460,4914,8557,0,0,0,0,0,196522
13,1303,130321,0,0,10318,0,0,640,0,0,0,0,0,0,0,4733,0,0,0,0,11595,0,0,7593,0,0,0,0,0,0,0,0,34879
13,1303,130322,335555,28935,257686,0,0,6362,5375,10000,0,19671,6090,0,19426,0,0,0,0,14543,101990,1360555,0,5156,1738,25153,2475,0,0,0,0,0,2200710
13,1303,130323,376150,0,5365,0,0,0,0,0,0,98026,0,0,0,3610,0,0,0,2348,360321,2271958,0,2015,14075,253381,5116,0,0,0,0,0,3392365
13,1303,130324,36766,15159,37179,0,12592,0,0,0,0,0,0,0,0,28862,3694,0,0,0,66144,120084,0,0,26450,2304,0,0,0,0,0,0,349234
13,1304,130402,0,3635,0,0,30073,10938,0,0,2541,0,0,0,0,0,62174,0,0,0,11903,1965,0,2341,53441,21148,47566,0,0,0,0,2260,249985
13,1304,130403,0,31964,1018,0,286363,4556,465,0,0,0,0,0,0,5982,0,0,0,0,0,0,1547,21605,0,185207,55351,75994,0,73637,0,0,743689
13,1304,130404,0,6355,0,0,0,1406,0,0,0,0,0,0,0,162907,0,0,0,6545,68883,6125328,0,25570,68423,308593,0,1468,0,2029,0,0,6777507
13,1304,130406,29813,7,0,0,0,0,0,0,0,0,4582,0,848826,2304,0,0,0,0,705575,532148,0,52587,8612,7758,0,0,3555,0,0,0,2195767
13,1304,130421,0,29794,36909,0,105074,34158,0,2,5210,0,3765,0,259292,60171,57534,0,14255,2811,95070,3141562,0,3821,138090,79080,0,27850,31109,178767,0,0,4304324
13,1304,130423,16719,18772,0,0,0,14098,1620,38648,0,27535,0,0,0,70430,0,0,0,0,25309,0,0,0,18815,32121,0,0,0,39272,0,0,303339
13,1304,130424,36191,13240,0,0,98003,52,0,0,0,0,0,0,0,60435,0,0,0,2039,40807,372539,42538,5319,46052,38055,5629,10862,0,2405,0,0,774166
13,1304,130425,661243,39870,15220,0,0,2000,0,0,0,0,0,0,0,27600,0,89945,0,151764,1150,0,0,0,0,0,0,0,0,0,0,0,988792
13,1304,130426,0,14120,11972,0,0,0,0,0,0,0,0,0,591887,6377,0,0,0,0,229388,3629174,0,7515,23636,0,23645,0,0,0,1077,0,4538791
13,1304,130427,30574,0,454,0,427,5058,0,0,0,12070,0,0,120302,64135,1702,0,0,1826,8307,23178,0,2770,3270,14852,754,0,0,0,0,0,289679
13,1304,130428,12587,0,0,0,57939,19123,0,14376,0,0,0,0,0,33671,0,0,0,0,0,0,0,0,52625,16699,17400,0,0,0,0,0,224420
13,1304,130429,74498,2400,3269,0,85500,0,0,0,3321,0,0,0,0,413184,152820,0,0,39318,12410,1574852,0,0,348467,0,0,0,0,0,0,0,2710039
13,1304,130430,12876,18974,0,0,162898,0,0,0,0,53745,0,0,0,14726,1224,0,0,0,0,0,0,0,3500,6280,9178,0,0,0,0,0,283401
13,1304,130431,55330,34668,10998,0,22035,0,0,0,0,0,0,0,0,0,0,0,0,0,6798,0,0,0,117200,0,0,0,0,0,0,0,247029
13,1304,130432,10141,0,0,0,4292,112324,0,0,78790,57387,0,0,0,13106,0,0,0,203326,0,0,0,980,0,39931,0,0,0,0,0,0,520277
13,1304,130433,104110,5612,97477,0,137214,222,0,0,0,65600,0,0,0,0,51732,0,0,1858,1862,0,0,0,160081,3200,0,1604,0,0,0,0,630572
13,1304,130434,79444,22994,0,0,45898,0,11035,0,0,107189,0,0,0,81842,38163,0,19700,36382,0,0,0,929,115909,0,0,12375,0,0,0,0,571860
13,1304,130435,220049,0,0,0,102290,0,0,91192,0,2970,0,0,400,191346,0,0,2197,29555,2630,102466,1680,0,0,0,60800,0,0,0,0,0,807575
13,1304,130481,27444,0,4912,0,0,0,0,0,0,0,0,0,885574,281,0,0,0,0,103730,15816552,0,0,89007,0,18194,0,0,0,0,0,16945694
13,1305,130502,0,0,3012,0,140085,6560,0,0,61590,0,0,0,0,8939,3234,0,4683,0,4103,148999,0,6474,68048,47640,10500,69546,0,0,6751,0,590164
13,1305,130503,285,0,0,0,0,8096,0,0,0,0,0,0,0,94896,0,0,68965,0,103850,1645287,0,0,41898,1008854,50572,0,0,0,0,0,3022703
13,1305,130521,24000,572,0,0,0,0,0,0,0,1738,0,0,1622905,163324,0,0,0,189376,169301,2499936,88445,6650,21343,6577,63332,6565,0,0,0,0,4864064
13,1305,130522,2886,0,0,0,0,0,0,0,0,0,0,0,28656,39669,81806,0,0,0,34786,253302,0,0,4699,0,0,0,0,0,0,0,445804
13,1305,130523,0,0,0,0,0,0,0,0,0,0,0,0,775606,71082,3878,0,736,0,60070,888011,0,0,0,0,0,0,0,0,0,0,1799383
13,1305,130524,3014,0,0,0,19167,25132,0,0,0,15707,0,0,0,10361,0,0,0,0,16832,0,0,0,2807,7688,14711,0,0,0,10409,0,125828
13,1305,130525,138725,935278,0,0,69022,3106,0,0,0,28951,0,0,0,103541,0,0,0,0,180870,0,0,0,204038,0,9197,0,0,0,0,0,1672728
13,1305,130526,0,0,0,0,8350,0,0,0,0,0,0,0,0,54188,0,0,30692,14733,0,0,0,0,60422,28064,33123,0,0,0,0,0,229572
13,1305,130527,24104,7710,4772,0,6813,7125,0,15349,0,67510,0,0,0,15049,0,0,0,0,4375,19046,0,12170,4595,21297,0,0,0,0,0,0,209915
13,1305,130528,278826,184649,34444,0,516404,367672,0,0,0,14507,0,0,0,2204242,0,0,0,95110,0,0,12833,15231,86567,1369,0,1718032,0,0,0,0,5529886
13,1305,130529,260452,1014,0,0,229707,0,0,0,13170,0,0,0,0,0,0,0,19430,0,0,110803,0,0,0,7256,3916,0,0,0,0,0,645748
13,1305,130530,23300,31303,0,0,12247,24329,0,0,0,0,0,0,0,0,0,0,0,0,7521,0,6618,0,0,25353,17451,39635,0,0,3660,0,191417
13,1305,130531,84519,0,0,0,37231,10881,5026,0,0,0,0,0,0,8382,14980,0,0,0,0,0,0,9044,13864,0,38778,0,0,0,0,0,222705
13,1305,130532,1229,4169,0,0,28026,0,0,0,0,0,0,0,0,24425,0,0,27046,0,0,3927,0,14379,30851,0,87009,2822,0,0,0,0,223883
13,1305,130533,0,0,0,0,32482,0,10887,0,0,0,0,0,0,33908,0,0,18033,3976,0,0,0,16740,0,0,33264,9004,0,0,6317,0,164611
13,1305,130534,6937,0,0,0,2086585,0,0,0,0,1762,0,0,0,18324,0,0,360774,0,145498,96810,177032,84540,17015,0,165825,0,0,0,0,0,3161102
13,1305,130535,0,0,0,0,39625,0,0,0,0,0,0,0,0,5446,30619,0,0,0,11800,0,0,0,133217,0,11371,0,0,0,0,0,232078
13,1305,130581,83715,0,0,0,348443,0,144489,0,0,5100,4128,0,1929,26070,1662,0,0,0,13126,60576,7783,1389,8446,2706,12555,0,0,0,0,0,722117
13,1305,130582,166554,0,1920,0,123893,0,0,0,0,42481,0,0,0,252177,312304,0,0,0,708517,174399,0,0,29476,22218,0,0,0,0,0,0,1833939
13,1306,130602,21767,74748,32680,0,464872,13160,0,0,0,1306896,274624,0,0,787859,20985,254838,0,934684,88997,46348,0,48976,587604,80461,760685,2518823,100959,17577,7838,0,8445381
13,1306,130603,0,42547,0,0,0,5811,0,0,0,0,35844,0,0,4630,119529,0,0,0,0,178,0,87994,36157,0,99295,18115,0,0,0,0,450100
13,1306,130604,3396,0,0,839861,0,0,0,0,0,10215,0,0,0,0,0,0,6964,5833,19818,0,24794,39714,0,964,1929205,31954,0,0,3811,0,2916529
13,1306,130621,39853,10694,0,0,72510,14925,0,0,0,760524,0,0,0,59393,18016,0,0,6835,32349,0,39662,17917,19137,13502,96424,45679,0,0,0,0,1247420
13,1306,130622,19077,0,0,0,113126,3471,0,0,0,41386,3484,5649,0,52717,0,0,0,12073,29091,0,516540,27670,24823,51732,5657,517337,0,0,10089,0,1433922
13,1306,130623,0,0,0,0,0,0,0,0,0,0,0,0,0,43713,0,4090,0,0,192895,0,0,28889,1281,0,1406,5770,9237,0,0,0,287281
13,1306,130624,0,5916,0,0,0,0,0,0,0,0,0,0,2870,17431,0,0,0,0,14383,0,0,0,0,0,0,0,0,0,0,0,40600
13,1306,130625,31214,19681,220505,0,19581,5752,0,0,0,45038,5629,0,0,12481,0,0,22430,2859,5615,1327,3070,4160,655182,64343,72828,122808,0,207108,0,13018,1534629
13,1306,130626,6991,802,54515,0,2649,23062,0,0,0,0,5123,0,0,19413,22342,0,11090,0,7604,0,0,0,358934,3677,278344,0,0,0,0,0,794546
13,1306,130627,31596,9588,0,0,57084,0,3626,19702,0,0,0,1744,0,8280,0,0,8832,0,21733,0,0,0,87371,0,0,0,0,0,0,0,249556
13,1306,130628,0,0,4852,0,1415168,1287,3248,0,0,0,0,0,0,5100,8496,28144,0,0,0,0,0,0,0,29459,8649,59688,0,0,0,0,1564091
13,1306,130629,0,0,0,0,65474,626388,0,0,0,29115,0,0,0,16949,0,0,17137,0,0,0,0,0,0,0,0,37743,0,0,0,0,792806
13,1306,130630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13738,218656,0,0,0,0,0,0,0,0,0,0,232394
13,1306,130631,4854,60371,12408,0,48569,0,0,35683,0,9236,0,0,0,10501,0,0,14097,0,5367,0,0,57132,26119,0,0,0,0,0,0,0,284337
13,1306,130632,0,0,0,0,58578,4336,77565,0,6173,0,0,0,0,0,0,0,0,20806,0,0,1002042,0,4989,0,0,13554,0,0,0,0,1188043
13,1306,130633,11645,164,15708,0,0,0,0,50162,0,6278,0,0,0,9064,0,0,0,13649,246545,0,0,22941,86259,0,24166,0,0,0,11955,0,498536
13,1306,130634,0,0,0,0,0,0,0,0,0,0,0,0,0,84315,0,0,0,0,27143,0,0,0,16914,0,0,0,0,0,25534,0,153906
13,1306,130635,0,0,53316,0,700370,0,104304,0,0,12729,0,0,0,32144,13390,6292,117249,0,0,0,0,0,0,0,0,0,0,0,0,0,1039794
13,1306,130636,139356,18207,164362,0,66203,0,0,0,0,4247,0,0,0,2508,0,0,3592,62214,1079,0,0,1403,283,0,0,762,0,0,505,0,464721
13,1306,130637,691,7908,0,0,42768,0,0,0,0,0,0,0,0,24229,0,0,77567,0,0,0,99032,4508,65176,0,0,0,0,0,0,0,321879
13,1306,130638,515,0,0,0,2382,32269,0,0,6748,0,9396,24611,0,85650,0,0,190048,511984,13574,0,6336,35872,1653,16319,0,98705,4671,0,0,1730,1042463
13,1306,130681,24566,0,32780,0,82205,0,0,8810,0,34049,15128,4322,0,34177,4032,0,217825,56440,11933,8040,305603,199617,113184,166558,624350,17806,0,4025,0,1068,1966518
13,1306,130682,0,99531,0,0,8791,0,0,0,0,0,0,17042,352605,17661,2546,0,0,0,2304,0,0,59652,182118,0,622511,0,0,0,0,0,1364761
13,1306,130683,0,0,38255,0,414177,53252,0,12115,0,48544,0,0,0,717,95538,0,60865,16114,50593,0,0,11120,235154,42980,1414,0,0,0,0,0,1080838
13,1306,130684,34795,58843,49734,0,9686,1189,187943,8289,0,4982,0,274,0,16285,0,0,20367,103181,34347,51237,0,96821,210924,1800,253492,34502,0,0,12121,0,1190812
13,1307,130702,0,9313,0,2548670,6934,0,0,0,0,1168,0,0,0,184939,176497,0,0,1608,36891,13720,0,8391,91981,546172,36909,35956,0,0,0,0,3699149
13,1307,130703,0,11931,0,0,4199,0,2021,0,0,0,0,0,0,17224,1113,0,10425,0,1170,0,0,0,30037,439336,8932,0,0,0,0,0,526388
13,1307,130705,475,1217,114686,0,0,0,21046,0,0,0,25807,0,0,137874,0,0,0,0,123544,3856717,0,2438,26466,204284,83720,6733,0,0,0,0,4605007
13,1307,130706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6188,0,8554,0,0,474,0,0,0,0,0,0,15216
13,1307,130721,65292,1693,0,0,0,0,2078,0,0,19103,9568,0,8214,30857,0,0,0,0,24750,67904,44916,21281,90189,0,0,6255,0,0,0,0,392100
13,1307,130722,238291,537512,0,0,0,0,2083,0,0,0,3720,0,0,0,0,0,0,0,3407,0,0,0,1594,0,0,0,0,0,0,0,786607
13,1307,130723,16490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16490
13,1307,130724,10279,20409,0,0,0,0,0,0,0,1467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32155
13,1307,130725,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6628,0,0,0,0,0,0,0,7246
13,1307,130726,0,0,0,0,0,0,966,0,0,0,0,0,0,0,0,0,0,0,5106,0,0,0,0,0,13287,0,4258,0,0,0,23617
13,1307,130727,0,2556,0,0,0,0,23433,0,0,0,0,0,0,0,0,0,0,0,14434,14526,0,0,0,0,0,0,0,0,0,0,54949
13,1307,130728,21019,0,530,0,0,0,0,0,0,0,0,0,0,49850,0,0,0,0,7224,0,0,0,0,0,0,0,0,0,0,0,78623
13,1307,130729,1776,5938,0,0,0,0,0,0,0,0,0,0,0,283795,0,0,0,2595,14539,0,9455,0,50901,36535,0,5412,0,0,4822,0,415768
13,1307,130730,0,0,499360,0,391,0,1770,0,0,0,0,7875,0,1016,0,0,0,0,76357,461444,0,0,0,0,1672,0,0,0,0,0,1049885
13,1307,130731,22892,0,35072,0,0,0,0,0,0,0,0,0,21461,94529,0,0,0,0,13134,0,0,16082,0,38690,0,0,0,0,0,0,241860
